SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
451,63,11,Car,772,559,1033,807,2.1,27.8
452,64,1,Car,1620,862,1890,1073,2.1333,46.54
453,64,2,Car,365,249,514,363,2.1333,4.69
454,64,3,Car,1179,428,1437,668,2.1333,25.37
455,64,4,Car,619,389,875,614,2.1333,21.76
456,64,6,Car,894,717,1194,1000,2.1333,52.09
457,64,9,Car,504,274,634,367,2.1333,5.21
458,64,11,Car,771,556,1038,813,2.1333,7.81
459,65,1,Car,1628,873,1889,1073,2.1667,50.29
460,65,2,Car,366,249,516,364,2.1667,5.48
461,65,3,Car,1188,433,1444,672,2.1667,37.62
462,65,4,Car,617,391,878,622,2.1667,9.54
463,65,6,Car,897,729,1195,1011,2.1667,45.85
464,65,9,Car,508,275,635,366,2.1667,16.45
465,65,11,Car,771,560,1040,819,2.1667,16.69
466,66,1,Car,1626,876,1894,1078,2.2,12.81
467,66,2,Car,367,251,520,366,2.2,10.06
468,66,3,Car,1191,437,1452,679,2.2,20.37
469,66,4,Car,617,394,880,628,2.2,12.39
470,66,6,Car,898,737,1199,1021,2.2,28.94
471,66,9,Car,510,273,638,366,2.2,9.06
472,66,11,Car,776,567,1044,826,2.2,33.21
473,67,1,Car,1632,884,1892,1076,2.2333,36.48
474,67,2,Car,368,251,523,367,2.2333,6.18
475,67,3,Car,1192,439,1460,687,2.2333,9.47
476,67,4,Car,618,398,880,632,2.2333,18.22
477,67,6,Car,897,741,1202,1028,2.2333,16.59
478,67,9,Car,512,273,640,365,2.2333,7.46
479,67,11,Car,782,575,1043,826,2.2333,35.78
480,68,1,Car,1638,896,1886,1075,2.2667,49.21
481,68,2,Car,370,251,525,366,2.2667,10.34
482,68,3,Car,1202,446,1463,687,2.2667,44.6
483,68,4,Car,623,405,882,635,2.2667,32.03
484,68,6,Car,903,751,1208,1036,2.2667,42.58
485,68,9,Car,514,272,642,365,2.2667,10.17
486,68,11,Car,792,584,1051,834,2.2667,49.0
487,69,1,Car,1647,905,1883,1076,2.3,47.48
488,69,2,Car,372,251,528,367,2.3,8.4
489,69,3,Car,1209,451,1469,690,2.3,31.55
490,69,4,Car,626,410,884,641,2.3,22.0
491,69,6,Car,905,755,1219,1048,2.3,18.78
492,69,9,Car,517,272,644,364,2.3,12.29
